,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
231,3534760232,Morning Walk,2020-05-30T10:39:27Z,Walk,2099.1,1631,1631,34.9,"[52.46408, -2.143445]",d9364e36-3530-4bdb-aec8-33eef466f2ee-activity.fit
232,3534598223,"Weekend ""long"" run",2020-05-30T09:52:28Z,Run,7231.1,2685,2713,72.7,"[52.464013, -2.14368]",286bfdaa-cee4-4dff-82ca-347b9b4dfced-activity.fit
233,3531414333,Ride with Isy to Mum and Dad's,2020-05-29T14:57:40Z,Ride,6403.0,3024,9942,67.4,"[52.463967, -2.14378]",e1df6e72-6b7d-4f0e-9f8a-3682bfeac32b-activity.fit
234,3532697462,"Wyre Forest, 5k Buzzard Trail walk with Bethia",2020-05-29T11:25:22Z,Walk,5200.0,4200,4200,0.0,,
235,3527692985,Night Walk,2020-05-28T21:36:09Z,Walk,831.7,706,776,9.2,"[52.464001, -2.143682]",ca03ecfc-67f1-4609-92f8-0212fb09cbf8-activity.fit
236,3527638658,Night Run,2020-05-28T21:12:32Z,Run,4217.5,1362,1365,48.3,"[52.46408, -2.143461]",cbd4458c-ff08-4171-845c-c2b3b96ac2e3-activity.fit
237,3522304256,Evening Walk,2020-05-27T19:45:54Z,Walk,7636.4,5384,5666,72.8,"[52.464035, -2.143738]",61c4132f-1c8f-47d8-ab58-c199f85b5a53-activity.fit
238,3512847972,Morning Run,2020-05-26T07:11:54Z,Run,6481.2,2338,2371,72.7,"[52.464065, -2.143572]",4d6de982-47b2-4537-8cd7-9973e7ff2a92-activity.fit
239,3502072957,Morning Walk,2020-05-24T09:20:39Z,Walk,1199.9,1002,1034,16.1,"[52.363277, -2.367531]",eefecbae-c3ad-4bd5-8041-7d52e0536231-activity.fit
240,3501937285,"Wyre Forest, 5k Buzzard Trail, gentle pace",2020-05-24T08:32:21Z,Run,5397.2,2043,2172,123.6,"[52.363896, -2.368755]",41862dd2-03af-4863-9937-c0f3d2d81d81-activity.fit
241,3498000166,Lunch Ride,2020-05-23T11:18:44Z,Ride,20883.9,6828,7664,249.8,"[52.463943, -2.143455]",7442eb3a-d325-419a-b998-e5937fc8d99c-activity.fit
242,3491938808,Morning Run,2020-05-22T07:55:39Z,Run,4228.5,1356,1356,51.0,"[52.464114, -2.143514]",b023e574-6296-4ef4-b7e2-fffbd2cd4c36-activity.fit
